Day,08:00,持續時間,09:00,持續時間,10:00,持續時間,11:00,持續時間,12:00,持續時間,13:00,持續時間,14:00,持續時間,15:00,持續時間,16:00,持續時間,17:00,持續時間,18:00,持續時間,19:00,持續時間,20:00,持續時間,21:00,持續時間,22:00,持續時間,23:00,持續時間,00:00,持續時間,01:00,持續時間,02:00,持續時間,03:00,持續時間,04:00,持續時間,05:00,持續時間,06:00,持續時間,07:00,持續時間
第51天,起床,67,刷牙,200,上廁所,200,吃飯,3655,休閒活動,3100,吃飯,3100,休閒活動,2000,休閒活動,2000,上廁所,200,休閒活動,3523,休閒活動,3600,上廁所,200,吃飯,600,休閒活動,3600,休閒活動,3523,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第52天,起床,50,刷牙,900,上廁所,900,吃飯,2467,休閒活動,3230,吃飯,3230,休閒活動,3100,休閒活動,3100,上廁所,900,休閒活動,3600,休閒活動,3100,上廁所,900,吃飯,600,休閒活動,3100,休閒活動,3600,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第53天,起床,30,刷牙,350,上廁所,350,吃飯,2300,休閒活動,2800,吃飯,2800,休閒活動,2134,休閒活動,2134,上廁所,350,休閒活動,3100,休閒活動,3230,上廁所,350,吃飯,600,休閒活動,3230,休閒活動,3100,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第54天,起床,35,刷牙,270,上廁所,270,吃飯,3638,休閒活動,2000,吃飯,2000,休閒活動,3523,休閒活動,2345,上廁所,270,休閒活動,3230,休閒活動,2800,上廁所,270,吃飯,600,休閒活動,2800,休閒活動,3230,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第55天,起床,32,刷牙,120,上廁所,120,吃飯,3655,休閒活動,3100,吃飯,3100,休閒活動,3600,休閒活動,2356,上廁所,120,休閒活動,2800,休閒活動,2000,上廁所,120,吃飯,600,休閒活動,2000,休閒活動,2800,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第56天,起床,31,刷牙,200,上廁所,200,吃飯,3487,休閒活動,2134,吃飯,2134,休閒活動,3100,休閒活動,3523,上廁所,200,休閒活動,2000,休閒活動,3100,上廁所,200,吃飯,600,休閒活動,3100,休閒活動,2000,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第57天,起床,40,刷牙,908,上廁所,908,吃飯,2657,休閒活動,3523,吃飯,3523,休閒活動,3230,休閒活動,3600,上廁所,908,休閒活動,3100,休閒活動,2134,上廁所,908,吃飯,600,休閒活動,2134,休閒活動,3100,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第58天,起床,60,刷牙,350,上廁所,350,吃飯,3655,休閒活動,3600,吃飯,3600,休閒活動,2800,休閒活動,3100,上廁所,350,休閒活動,3523,休閒活動,2345,上廁所,350,吃飯,600,休閒活動,2345,休閒活動,3523,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第59天,起床,30,刷牙,120,上廁所,120,吃飯,2467,休閒活動,3100,吃飯,3100,休閒活動,2000,休閒活動,3230,上廁所,120,休閒活動,3600,休閒活動,2356,上廁所,120,吃飯,600,休閒活動,2356,休閒活動,3600,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第60天,起床,36,刷牙,135,上廁所,135,吃飯,2300,休閒活動,3230,吃飯,3230,休閒活動,3100,休閒活動,2800,上廁所,135,休閒活動,3100,休閒活動,3523,上廁所,135,吃飯,600,休閒活動,3523,休閒活動,3100,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第61天,起床,38,刷牙,120,上廁所,120,吃飯,3600,休閒活動,2800,吃飯,2800,休閒活動,2134,休閒活動,2000,上廁所,120,休閒活動,3230,休閒活動,3600,上廁所,120,吃飯,600,休閒活動,3600,休閒活動,3230,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第62天,起床,50,刷牙,200,上廁所,200,吃飯,600,休閒活動,2000,吃飯,2000,休閒活動,2345,休閒活動,3100,上廁所,200,休閒活動,2800,休閒活動,3100,上廁所,200,吃飯,600,休閒活動,3100,休閒活動,2800,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第63天,起床,65,刷牙,906,上廁所,906,吃飯,3638,休閒活動,3100,吃飯,3100,休閒活動,2356,休閒活動,3523,上廁所,906,休閒活動,3523,休閒活動,3230,上廁所,906,吃飯,600,休閒活動,3230,休閒活動,3523,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第64天,起床,67,刷牙,350,上廁所,350,吃飯,3655,休閒活動,2134,吃飯,2134,休閒活動,3523,休閒活動,3600,上廁所,350,休閒活動,3600,休閒活動,2800,上廁所,350,吃飯,600,休閒活動,2800,休閒活動,3600,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第65天,起床,50,刷牙,270,上廁所,270,吃飯,3487,休閒活動,2345,吃飯,2345,休閒活動,3600,休閒活動,3100,上廁所,270,休閒活動,3100,休閒活動,2000,上廁所,270,吃飯,600,休閒活動,2000,休閒活動,3100,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第66天,起床,30,刷牙,120,上廁所,120,吃飯,2657,休閒活動,2356,吃飯,2356,休閒活動,3100,休閒活動,3230,上廁所,120,休閒活動,3230,休閒活動,3100,上廁所,120,吃飯,600,休閒活動,3100,休閒活動,3230,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第67天,起床,35,刷牙,200,上廁所,200,吃飯,3655,休閒活動,3523,吃飯,3523,休閒活動,3230,休閒活動,2800,上廁所,200,休閒活動,2800,休閒活動,3523,上廁所,200,吃飯,600,休閒活動,3523,休閒活動,2800,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第68天,起床,32,刷牙,900,上廁所,900,吃飯,2467,休閒活動,3600,吃飯,3600,休閒活動,2800,休閒活動,3523,上廁所,900,休閒活動,2000,休閒活動,3600,上廁所,900,吃飯,600,休閒活動,3600,休閒活動,2000,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第69天,起床,31,刷牙,350,上廁所,350,吃飯,2300,休閒活動,3100,吃飯,3100,休閒活動,2000,休閒活動,3600,上廁所,350,休閒活動,3100,休閒活動,3100,上廁所,350,吃飯,600,休閒活動,3100,休閒活動,3100,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第70天,起床,40,刷牙,120,上廁所,120,吃飯,3638,休閒活動,3230,吃飯,3230,休閒活動,3100,休閒活動,3100,上廁所,120,休閒活動,2134,休閒活動,3230,上廁所,120,吃飯,600,休閒活動,3230,休閒活動,2134,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
